filename,audio_path,video_path,text,label
sample_006252,data/raw/audio\sample_006252.wav,data/raw/video\sample_006252.mp4,"Wonderful, exceeded all expectations!",2
sample_004684,data/raw/audio\sample_004684.wav,data/raw/video\sample_004684.mp4,"Great film, emotional and powerful.",2
sample_001731,data/raw/audio\sample_001731.wav,data/raw/video\sample_001731.mp4,"This was terrible, I hated every moment.",0
sample_004742,data/raw/audio\sample_004742.wav,data/raw/video\sample_004742.mp4,"Awful experience, not worth watching.",0
sample_004521,data/raw/audio\sample_004521.wav,data/raw/video\sample_004521.mp4,"An average performance, could be better.",1
sample_006340,data/raw/audio\sample_006340.wav,data/raw/video\sample_006340.mp4,"Awful experience, not worth watching.",0
sample_000576,data/raw/audio\sample_000576.wav,data/raw/video\sample_000576.mp4,"Completely disappointed, waste of time.",0
sample_005202,data/raw/audio\sample_005202.wav,data/raw/video\sample_005202.mp4,"Absolutely loved it, fantastic experience!",2
sample_006363,data/raw/audio\sample_006363.wav,data/raw/video\sample_006363.mp4,"Wonderful, exceeded all expectations!",2
sample_000439,data/raw/audio\sample_000439.wav,data/raw/video\sample_000439.mp4,"Awful experience, not worth watching.",0
sample_002750,data/raw/audio\sample_002750.wav,data/raw/video\sample_002750.mp4,"Awful experience, not worth watching.",0
sample_007487,data/raw/audio\sample_007487.wav,data/raw/video\sample_007487.mp4,"Wonderful, exceeded all expectations!",2
sample_005272,data/raw/audio\sample_005272.wav,data/raw/video\sample_005272.mp4,"Absolutely loved it, fantastic experience!",2
sample_005653,data/raw/audio\sample_005653.wav,data/raw/video\sample_005653.mp4,"Wonderful, exceeded all expectations!",2
sample_003999,data/raw/audio\sample_003999.wav,data/raw/video\sample_003999.mp4,"It was okay, not great but not bad either.",1
sample_006033,data/raw/audio\sample_006033.wav,data/raw/video\sample_006033.mp4,"It was okay, not great but not bad either.",1
sample_000582,data/raw/audio\sample_000582.wav,data/raw/video\sample_000582.mp4,"Great film, emotional and powerful.",2
sample_009930,data/raw/audio\sample_009930.wav,data/raw/video\sample_009930.mp4,"Completely disappointed, waste of time.",0
sample_007051,data/raw/audio\sample_007051.wav,data/raw/video\sample_007051.mp4,"Great film, emotional and powerful.",2
sample_008158,data/raw/audio\sample_008158.wav,data/raw/video\sample_008158.mp4,"Absolutely loved it, fantastic experience!",2
sample_009896,data/raw/audio\sample_009896.wav,data/raw/video\sample_009896.mp4,"It was okay, not great but not bad either.",1
sample_002249,data/raw/audio\sample_002249.wav,data/raw/video\sample_002249.mp4,"Completely disappointed, waste of time.",0
sample_004640,data/raw/audio\sample_004640.wav,data/raw/video\sample_004640.mp4,"Wonderful, exceeded all expectations!",2
sample_009485,data/raw/audio\sample_009485.wav,data/raw/video\sample_009485.mp4,"Wonderful, exceeded all expectations!",2
sample_004947,data/raw/audio\sample_004947.wav,data/raw/video\sample_004947.mp4,"An average performance, could be better.",1
sample_009920,data/raw/audio\sample_009920.wav,data/raw/video\sample_009920.mp4,Mediocre storyline but decent acting.,1
sample_001963,data/raw/audio\sample_001963.wav,data/raw/video\sample_001963.mp4,"Great film, emotional and powerful.",2
sample_008243,data/raw/audio\sample_008243.wav,data/raw/video\sample_008243.mp4,"This was terrible, I hated every moment.",0
sample_006590,data/raw/audio\sample_006590.wav,data/raw/video\sample_006590.mp4,"Awful experience, not worth watching.",0
sample_008847,data/raw/audio\sample_008847.wav,data/raw/video\sample_008847.mp4,"Wonderful, exceeded all expectations!",2
sample_000321,data/raw/audio\sample_000321.wav,data/raw/video\sample_000321.mp4,"Completely disappointed, waste of time.",0
sample_002678,data/raw/audio\sample_002678.wav,data/raw/video\sample_002678.mp4,"Awful experience, not worth watching.",0
sample_004625,data/raw/audio\sample_004625.wav,data/raw/video\sample_004625.mp4,"Completely disappointed, waste of time.",0
sample_004949,data/raw/audio\sample_004949.wav,data/raw/video\sample_004949.mp4,"Awful experience, not worth watching.",0
sample_008328,data/raw/audio\sample_008328.wav,data/raw/video\sample_008328.mp4,"It was okay, not great but not bad either.",1
sample_003337,data/raw/audio\sample_003337.wav,data/raw/video\sample_003337.mp4,Mediocre storyline but decent acting.,1
sample_005589,data/raw/audio\sample_005589.wav,data/raw/video\sample_005589.mp4,"Awful experience, not worth watching.",0
sample_000251,data/raw/audio\sample_000251.wav,data/raw/video\sample_000251.mp4,"Absolutely loved it, fantastic experience!",2
sample_003973,data/raw/audio\sample_003973.wav,data/raw/video\sample_003973.mp4,"Wonderful, exceeded all expectations!",2
sample_006630,data/raw/audio\sample_006630.wav,data/raw/video\sample_006630.mp4,"Awful experience, not worth watching.",0
sample_005547,data/raw/audio\sample_005547.wav,data/raw/video\sample_005547.mp4,"Wonderful, exceeded all expectations!",2
sample_000035,data/raw/audio\sample_000035.wav,data/raw/video\sample_000035.mp4,"An average performance, could be better.",1
sample_008362,data/raw/audio\sample_008362.wav,data/raw/video\sample_008362.mp4,"Great film, emotional and powerful.",2
sample_001513,data/raw/audio\sample_001513.wav,data/raw/video\sample_001513.mp4,"It was okay, not great but not bad either.",1
sample_009317,data/raw/audio\sample_009317.wav,data/raw/video\sample_009317.mp4,"An average performance, could be better.",1
sample_000039,data/raw/audio\sample_000039.wav,data/raw/video\sample_000039.mp4,"Great film, emotional and powerful.",2
sample_004819,data/raw/audio\sample_004819.wav,data/raw/video\sample_004819.mp4,"An average performance, could be better.",1
sample_003465,data/raw/audio\sample_003465.wav,data/raw/video\sample_003465.mp4,"An average performance, could be better.",1
sample_001760,data/raw/audio\sample_001760.wav,data/raw/video\sample_001760.mp4,"This was terrible, I hated every moment.",0
sample_002304,data/raw/audio\sample_002304.wav,data/raw/video\sample_002304.mp4,"An average performance, could be better.",1
sample_003723,data/raw/audio\sample_003723.wav,data/raw/video\sample_003723.mp4,"Great film, emotional and powerful.",2
sample_008284,data/raw/audio\sample_008284.wav,data/raw/video\sample_008284.mp4,Mediocre storyline but decent acting.,1
sample_004993,data/raw/audio\sample_004993.wav,data/raw/video\sample_004993.mp4,"Great film, emotional and powerful.",2
sample_008127,data/raw/audio\sample_008127.wav,data/raw/video\sample_008127.mp4,"An average performance, could be better.",1
sample_003032,data/raw/audio\sample_003032.wav,data/raw/video\sample_003032.mp4,"Awful experience, not worth watching.",0
sample_007938,data/raw/audio\sample_007938.wav,data/raw/video\sample_007938.mp4,"An average performance, could be better.",1
sample_003039,data/raw/audio\sample_003039.wav,data/raw/video\sample_003039.mp4,Mediocre storyline but decent acting.,1
sample_009655,data/raw/audio\sample_009655.wav,data/raw/video\sample_009655.mp4,"It was okay, not great but not bad either.",1
sample_002545,data/raw/audio\sample_002545.wav,data/raw/video\sample_002545.mp4,"Wonderful, exceeded all expectations!",2
sample_002592,data/raw/audio\sample_002592.wav,data/raw/video\sample_002592.mp4,Mediocre storyline but decent acting.,1
sample_001188,data/raw/audio\sample_001188.wav,data/raw/video\sample_001188.mp4,"This was terrible, I hated every moment.",0
sample_007966,data/raw/audio\sample_007966.wav,data/raw/video\sample_007966.mp4,"Completely disappointed, waste of time.",0
sample_006077,data/raw/audio\sample_006077.wav,data/raw/video\sample_006077.mp4,"It was okay, not great but not bad either.",1
sample_000107,data/raw/audio\sample_000107.wav,data/raw/video\sample_000107.mp4,"Completely disappointed, waste of time.",0
sample_001315,data/raw/audio\sample_001315.wav,data/raw/video\sample_001315.mp4,"It was okay, not great but not bad either.",1
sample_008187,data/raw/audio\sample_008187.wav,data/raw/video\sample_008187.mp4,"It was okay, not great but not bad either.",1
sample_002753,data/raw/audio\sample_002753.wav,data/raw/video\sample_002753.mp4,"It was okay, not great but not bad either.",1
sample_009753,data/raw/audio\sample_009753.wav,data/raw/video\sample_009753.mp4,"Absolutely loved it, fantastic experience!",2
sample_006231,data/raw/audio\sample_006231.wav,data/raw/video\sample_006231.mp4,Mediocre storyline but decent acting.,1
sample_002876,data/raw/audio\sample_002876.wav,data/raw/video\sample_002876.mp4,"It was okay, not great but not bad either.",1
sample_005323,data/raw/audio\sample_005323.wav,data/raw/video\sample_005323.mp4,"Awful experience, not worth watching.",0
sample_000799,data/raw/audio\sample_000799.wav,data/raw/video\sample_000799.mp4,"Wonderful, exceeded all expectations!",2
sample_003570,data/raw/audio\sample_003570.wav,data/raw/video\sample_003570.mp4,"Great film, emotional and powerful.",2
sample_002894,data/raw/audio\sample_002894.wav,data/raw/video\sample_002894.mp4,"It was okay, not great but not bad either.",1
sample_002927,data/raw/audio\sample_002927.wav,data/raw/video\sample_002927.mp4,"Awful experience, not worth watching.",0
sample_008178,data/raw/audio\sample_008178.wav,data/raw/video\sample_008178.mp4,"Completely disappointed, waste of time.",0
sample_000971,data/raw/audio\sample_000971.wav,data/raw/video\sample_000971.mp4,"Absolutely loved it, fantastic experience!",2
sample_006687,data/raw/audio\sample_006687.wav,data/raw/video\sample_006687.mp4,"An average performance, could be better.",1
sample_008575,data/raw/audio\sample_008575.wav,data/raw/video\sample_008575.mp4,"Wonderful, exceeded all expectations!",2
sample_002020,data/raw/audio\sample_002020.wav,data/raw/video\sample_002020.mp4,"This was terrible, I hated every moment.",0
sample_009054,data/raw/audio\sample_009054.wav,data/raw/video\sample_009054.mp4,"Wonderful, exceeded all expectations!",2
sample_000952,data/raw/audio\sample_000952.wav,data/raw/video\sample_000952.mp4,"This was terrible, I hated every moment.",0
sample_005359,data/raw/audio\sample_005359.wav,data/raw/video\sample_005359.mp4,"This was terrible, I hated every moment.",0
sample_003857,data/raw/audio\sample_003857.wav,data/raw/video\sample_003857.mp4,"An average performance, could be better.",1
sample_005861,data/raw/audio\sample_005861.wav,data/raw/video\sample_005861.mp4,"Completely disappointed, waste of time.",0
sample_003145,data/raw/audio\sample_003145.wav,data/raw/video\sample_003145.mp4,"Completely disappointed, waste of time.",0
sample_003305,data/raw/audio\sample_003305.wav,data/raw/video\sample_003305.mp4,"An average performance, could be better.",1
sample_003006,data/raw/audio\sample_003006.wav,data/raw/video\sample_003006.mp4,"This was terrible, I hated every moment.",0
sample_009001,data/raw/audio\sample_009001.wav,data/raw/video\sample_009001.mp4,"Awful experience, not worth watching.",0
sample_007770,data/raw/audio\sample_007770.wav,data/raw/video\sample_007770.mp4,"It was okay, not great but not bad either.",1
sample_007438,data/raw/audio\sample_007438.wav,data/raw/video\sample_007438.mp4,"This was terrible, I hated every moment.",0
sample_007942,data/raw/audio\sample_007942.wav,data/raw/video\sample_007942.mp4,"It was okay, not great but not bad either.",1
sample_009238,data/raw/audio\sample_009238.wav,data/raw/video\sample_009238.mp4,"Great film, emotional and powerful.",2
sample_001056,data/raw/audio\sample_001056.wav,data/raw/video\sample_001056.mp4,"Awful experience, not worth watching.",0
sample_003154,data/raw/audio\sample_003154.wav,data/raw/video\sample_003154.mp4,"Completely disappointed, waste of time.",0
sample_003787,data/raw/audio\sample_003787.wav,data/raw/video\sample_003787.mp4,"Awful experience, not worth watching.",0
sample_009189,data/raw/audio\sample_009189.wav,data/raw/video\sample_009189.mp4,"Awful experience, not worth watching.",0
sample_007825,data/raw/audio\sample_007825.wav,data/raw/video\sample_007825.mp4,"This was terrible, I hated every moment.",0
sample_007539,data/raw/audio\sample_007539.wav,data/raw/video\sample_007539.mp4,"This was terrible, I hated every moment.",0
sample_007231,data/raw/audio\sample_007231.wav,data/raw/video\sample_007231.mp4,"Completely disappointed, waste of time.",0
sample_000764,data/raw/audio\sample_000764.wav,data/raw/video\sample_000764.mp4,"An average performance, could be better.",1
sample_005019,data/raw/audio\sample_005019.wav,data/raw/video\sample_005019.mp4,"Wonderful, exceeded all expectations!",2
sample_004903,data/raw/audio\sample_004903.wav,data/raw/video\sample_004903.mp4,"An average performance, could be better.",1
sample_008093,data/raw/audio\sample_008093.wav,data/raw/video\sample_008093.mp4,Mediocre storyline but decent acting.,1
sample_006843,data/raw/audio\sample_006843.wav,data/raw/video\sample_006843.mp4,"Wonderful, exceeded all expectations!",2
sample_002165,data/raw/audio\sample_002165.wav,data/raw/video\sample_002165.mp4,"This was terrible, I hated every moment.",0
sample_001862,data/raw/audio\sample_001862.wav,data/raw/video\sample_001862.mp4,"This was terrible, I hated every moment.",0
sample_007850,data/raw/audio\sample_007850.wav,data/raw/video\sample_007850.mp4,"This was terrible, I hated every moment.",0
sample_009123,data/raw/audio\sample_009123.wav,data/raw/video\sample_009123.mp4,"Wonderful, exceeded all expectations!",2
sample_002340,data/raw/audio\sample_002340.wav,data/raw/video\sample_002340.mp4,Mediocre storyline but decent acting.,1
sample_005527,data/raw/audio\sample_005527.wav,data/raw/video\sample_005527.mp4,"An average performance, could be better.",1
sample_006743,data/raw/audio\sample_006743.wav,data/raw/video\sample_006743.mp4,Mediocre storyline but decent acting.,1
sample_004003,data/raw/audio\sample_004003.wav,data/raw/video\sample_004003.mp4,"Completely disappointed, waste of time.",0
